                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                 1.1415,                0.80667,                 1.1106,                 0.3873,                0.37453,                0.33802,                0.18355,                 1.6322,                 1.3223,                 1.5118,             0.00024748,             0.00024748,             0.00024748
                     73,                 1.1228,                0.79163,                 1.0926,                0.33649,                0.41445,                0.33637,                0.18396,                 1.6379,                  1.311,                 1.5221,             0.00023924,             0.00023924,             0.00023924
                     74,                 1.1103,                0.78735,                 1.0954,                0.38618,                0.36769,                0.34271,                0.18599,                 1.6321,                 1.3138,                 1.5223,             0.00023099,             0.00023099,             0.00023099
                     75,                 1.1007,                0.77753,                 1.0869,                0.36158,                0.39216,                0.34154,                0.18486,                 1.6398,                 1.3224,                 1.5209,             0.00022274,             0.00022274,             0.00022274
                     76,                 1.0943,                0.77235,                 1.0882,                0.39127,                 0.3866,                0.34715,                 0.1889,                 1.6282,                 1.2899,                 1.5159,              0.0002145,              0.0002145,              0.0002145
                     77,                 1.0871,                0.76298,                 1.0864,                 0.4163,                0.37605,                0.34687,                0.18826,                 1.6481,                 1.3208,                 1.5225,             0.00020625,             0.00020625,             0.00020625
                     78,                 1.0962,                 0.7654,                 1.0805,                0.40728,                0.39292,                0.35005,                0.19059,                 1.6428,                 1.3174,                 1.5267,               0.000198,               0.000198,               0.000198
                     79,                 1.0924,                0.75958,                 1.0795,                0.41455,                0.37911,                0.34364,                0.18866,                  1.638,                  1.311,                 1.5217,             0.00018976,             0.00018976,             0.00018976
                     80,                 1.0769,                0.74574,                 1.0791,                0.36026,                0.42392,                0.35098,                0.18975,                 1.6372,                 1.3197,                 1.5244,             0.00018151,             0.00018151,             0.00018151
                     81,                 1.0598,                0.73467,                 1.0684,                0.42172,                0.35966,                0.34752,                 0.1874,                 1.6542,                 1.3372,                 1.5328,             0.00017326,             0.00017326,             0.00017326
                     82,                 1.0465,                0.72282,                 1.0689,                0.38766,                0.39066,                0.34402,                0.18617,                 1.6654,                 1.3407,                 1.5487,             0.00016502,             0.00016502,             0.00016502
                     83,                 1.0547,                 0.7267,                 1.0687,                0.40484,                0.38976,                0.34718,                 0.1876,                 1.6517,                 1.3329,                 1.5347,             0.00015677,             0.00015677,             0.00015677
                     84,                 1.0475,                0.73053,                  1.063,                 0.3588,                0.41884,                0.34318,                0.18914,                 1.6497,                 1.3378,                 1.5442,             0.00014852,             0.00014852,             0.00014852
                     85,                 1.0424,                0.71753,                 1.0635,                 0.3536,                0.41689,                 0.3444,                0.18746,                 1.6532,                 1.3212,                 1.5362,             0.00014028,             0.00014028,             0.00014028
                     86,                 1.0322,                0.70941,                 1.0558,                0.36783,                0.40236,                 0.3419,                0.18639,                 1.6496,                 1.3155,                 1.5352,             0.00013203,             0.00013203,             0.00013203
                     87,                 1.0282,                0.70665,                  1.053,                0.38634,                 0.3691,                0.33797,                0.18474,                 1.6541,                 1.3291,                 1.5449,             0.00012378,             0.00012378,             0.00012378
                     88,                 1.0231,                 0.6977,                 1.0523,                0.37127,                0.38188,                0.34121,                0.18621,                 1.6525,                 1.3449,                 1.5404,             0.00011554,             0.00011554,             0.00011554
                     89,                  1.019,                0.69882,                 1.0482,                0.38782,                0.37699,                0.34042,                0.18784,                  1.639,                  1.332,                  1.533,             0.00010729,             0.00010729,             0.00010729
                     90,                 1.0085,                0.69654,                 1.0506,                 0.3858,                0.39688,                0.34408,                0.18823,                 1.6486,                 1.3217,                 1.5441,             9.9044e-05,             9.9044e-05,             9.9044e-05
                     91,                 1.0088,                0.68999,                 1.0446,                0.36019,                0.40858,                0.34476,                0.18859,                 1.6459,                 1.3293,                 1.5359,             9.0797e-05,             9.0797e-05,             9.0797e-05
                     92,                 1.0079,                0.68502,                 1.0451,                0.39639,                0.37215,                0.34135,                0.18636,                 1.6492,                 1.3298,                 1.5401,              8.255e-05,              8.255e-05,              8.255e-05
                     93,                0.99505,                0.68419,                 1.0428,                0.53925,                0.36404,                0.34149,                0.18768,                 1.6495,                 1.3315,                 1.5414,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     94,                0.98945,                0.67525,                 1.0427,                0.52991,                0.37581,                0.34075,                0.18825,                 1.6493,                 1.3291,                 1.5412,             6.6057e-05,             6.6057e-05,             6.6057e-05
                     95,                0.98091,                 0.6677,                 1.0355,                0.51541,                0.38059,                0.34222,                0.18692,                 1.6528,                 1.3364,                 1.5486,              5.781e-05,              5.781e-05,              5.781e-05
                     96,                0.99003,                0.66796,                 1.0397,                0.36944,                0.39364,                 0.3436,                0.18934,                 1.6512,                 1.3322,                 1.5517,             4.9564e-05,             4.9564e-05,             4.9564e-05
                     97,                 0.9832,                0.66602,                 1.0384,                0.53505,                0.36497,                0.34343,                0.18766,                 1.6513,                 1.3356,                 1.5446,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     98,                0.96238,                0.65531,                 1.0261,                 0.5343,                0.36148,                0.34355,                0.18786,                 1.6528,                 1.3364,                 1.5446,              3.307e-05,              3.307e-05,              3.307e-05
                     99,                0.96418,                0.66013,                 1.0259,                0.54707,                0.35611,                0.34439,                0.18887,                 1.6534,                 1.3381,                 1.5499,             2.4823e-05,             2.4823e-05,             2.4823e-05
